PDFIndex,10DigitBBl,StreetNumber,StreetName,DOFGrossSquareFootage,EnergyStar1-100Score,EnergyEfficiencyGrade
406,1008010071,152,WEST 26 STREET,122236,91,A
407,1008020019,135,WEST 26 STREET,58084,86,A
408,1008020022,127,WEST 26 STREET,92970,99,A
409,1008020050,112,WEST 27 STREET,25200,92,A
410,1008027501,144,WEST 27 STREET,78274,99,A
411,1008030021,121,WEST 27 STREET,113129,92,A
412,1008030026,115,WEST 27 STREET,59440,91,A
413,1008030029,109,WEST 27 STREET,43968,95,A
414,1008030056,120,WEST 28 STREET,38760,89,A
415,1008030067,150,WEST 28 STREET,123557,92,A
416,1008037502,301,7 AVENUE,163650,89,A
417,1008040013,141,WEST 28 STREET,55392,86,A
418,1008040049,114,WEST 29 STREET,73668,88,A
419,1008040071,158,WEST 29 STREET,58764,91,A
420,1008050019,135,WEST 29 STREET,70862,94,A
421,1008050022,129,WEST 29 STREET,85869,88,A
422,1008050094,144,WEST 30 STREET,216841,99,A
423,1008060009,145,WEST 30 STREET,87526,96,A
424,1008060026,115,WEST 30 STREET,151525,96,A
425,1008060054,120,WEST 31 STREET,32540,92,A
426,1008080040,100,WEST 33 STREET,1105991,91,A
427,1008090045,1311,BROADWAY,258412,85,A
428,1008110010,147,WEST 35 STREET,99184,86,A
429,1008110047,124,WEST 36 STREET,28000,96,A
430,1008110051,132,WEST 36 STREET,187350,95,A
431,1008120016,141,WEST 36 STREET,165000,96,A
432,1008120019,135,WEST 36 STREET,108214,92,A
433,1008120022,1359,BROADWAY,397978,90,A
434,1008120042,989,AVENUE OF THE AMERICAS,95989,92,A
435,1008120049,1372,BROADWAY,234846,86,A
436,1008120063,134,WEST 37 STREET,120000,91,A
437,1008120069,148,WEST 37 STREET,93846,92,A
438,1008130055,1385,BROADWAY,438643,91,A
439,1008140001,525,7 AVENUE,411074,90,A
440,1008140015,1407,BROADWAY,911896,87,A
441,1008140046,108,WEST 39 STREET,118949,89,A
442,1008140052,1402,BROADWAY,367212,87,A
443,1008147501,1031,6 AVENUE,338274,85,A
444,1008150014,1412,BROADWAY,361767,92,A
445,1008150020,117,WEST 39 STREET,126398,99,A
446,1008160016,37,WEST 14 STREET,45000,99,A
447,1008160037,84,5 AVENUE,132491,85,A
448,1008170029,6,WEST 16 STREET,403741,88,A
449,1008180041,110,5 AVENUE,148940,96,A
450,1008180073,40,WEST 17 STREET,49520,95,A
451,1008180078,50,WEST 17 STREET,74792,91,A
452,1008190019,33,WEST 17 STREET,48532,95,A
453,1008190037,118,5 AVENUE,65857,85,A
454,1008190056,18,WEST 18 STREET,173152,100,A
455,1008197504,15,WEST 17 STREET,26180,99,A
456,1008200026,23,WEST 18 STREET,191400,92,A
457,1008200033,7,WEST 18 STREET,43307,90,A
458,1008200036,3,WEST 18 STREET,34360,95,A
459,1008200038,130,5 AVENUE,120000,94,A
460,1008207505,620,AVENUE OF THE AMERICAS,708834,90,A
461,1008210064,36,WEST 20 STREET,49500,95,A
462,1008217506,636,AVENUE OF THE AMERICAS,79784,95,A
463,1008220009,37,WEST 20 STREET,105942,91,A
464,1008220015,27,WEST 20 STREET,100800,87,A
465,1008220049,12,WEST 21 STREET,58900,90,A
466,1008220054,22,WEST 21 STREET,101368,89,A
467,1008220058,30,WEST 21 STREET,60798,86,A
468,1008220062,38,WEST 21 STREET,68808,99,A
469,1008220067,48,WEST 21 STREET,48520,93,A
470,1008220070,54,WEST 21 STREET,142532,90,A
471,1008230010,45,WEST 21 STREET,70000,91,A
472,1008230017,35,WEST 21 STREET,151236,90,A
473,1008230024,19,WEST 21 STREET,113284,95,A
474,1008230029,15,WEST 21 STREET,137007,96,A
475,1008230055,20,WEST 22 STREET,169887,89,A
476,1008230059,28,WEST 22 STREET,27410,86,A
477,1008240032,3,WEST 22 STREET,81527,100,A
478,1008240042,184,5 AVENUE,29000,90,A
479,1008250001,716,AVENUE OF THE AMERICAS,219718,89,A
480,1008250009,61,WEST 23 STREET,46900,99,A
481,1008250024,27,WEST 23 STREET,101600,96,A
482,1008250071,36,WEST 24 STREET,69823,100,A
483,1008260013,43,WEST 24 STREET,63214,88,A
484,1008260055,18,WEST 25 STREET,42714,100,A
485,1008260057,24,WEST 25 STREET,133561,95,A
486,1008260063,36,WEST 25 STREET,65372,96,A
487,1008260065,40,WEST 25 STREET,128965,97,A
488,1008270027,11,WEST 25 STREET,26504,94,A
489,1008270028,1121,BROADWAY,105667,100,A
490,1008270049,1129,BROADWAY,183168,96,A
491,1008280009,37,WEST 26 STREET,112259,91,A
492,1008280033,1140,BROADWAY,128010,88,A
493,1008280041,228,5 AVENUE,404245,87,A
494,1008280053,1155,BROADWAY,52916,90,A
495,1008280056,12,WEST 27 STREET,91000,89,A
496,1008280061,22,WEST 27 STREET,53100,86,A
497,1008280067,34,WEST 27 STREET,66627,95,A
498,1008280070,40,WEST 27 STREET,48321,91,A
499,1008290022,1161,BROADWAY,43000,95,A
500,1008290032,13,WEST 27 STREET,50234,92,A
501,1008290068,44,WEST 28 STREET,141830,91,A
502,1008300016,37,WEST 28 STREET,52800,86,A
503,1008300042,258,5 AVENUE,59870,93,A
504,1008300046,2,WEST 29 STREET,69649,99,A
505,1008300062,1195,BROADWAY,107030,91,A
506,1008310010,39,WEST 29 STREET,56931,94,A
507,1008320001,856,AVENUE OF THE AMERICAS,187973,96,A
508,1008320041,286,5 AVENUE,44380,89,A
509,1008320049,4,WEST 31 STREET,90633,98,A
510,1008320053,12,WEST 31 STREET,31610,87,A
511,1008320062,30,WEST 31 STREET,60270,96,A
512,1008330040,304,5 AVENUE,25480,99,A
513,1008340011,1260,BROADWAY,278905,89,A
514,1008340022,29,WEST 32 STREET,206388,90,A
515,1008340039,320,5 AVENUE,99922,94,A
516,1008340069,42,WEST 33 STREET,194422,90,A
517,1008350011,43,WEST 33 STREET,39821,86,A
518,1008350015,35,WEST 33 STREET,160126,97,A
519,1008357501,50,WEST 34 STREET,871693,96,A
520,1008360026,7,WEST 34 STREET,431082,88,A
521,1008360035,358,5 AVENUE,135570,88,A
522,1008360043,366,5 AVENUE,147595,97,A
523,1008370006,63,WEST 35 STREET,122859,95,A
524,1008370023,29,WEST 35 STREET,71180,86,A
525,1008370045,384,5 AVENUE,28000,99,A
526,1008370062,28,WEST 36 STREET,58186,99,A
527,1008370067,38,WEST 36 STREET,91099,99,A
528,1008380024,29,WEST 36 STREET,91221,91,A
529,1008380027,25,WEST 36 STREET,39848,94,A
530,1008380056,8,WEST 37 STREET,36083,91,A
531,1008380058,12,WEST 37 STREET,52200,86,A
532,1008380072,40,WEST 37 STREET,54725,98,A
